"species","IUCN_category","area_global","pa_count","pa_quality_mean","mhw_freq","mhw_total_days","mhw_max_int","mhw_mean_int","mhw_cum_int","slope_intensity","slope_freq","slope_cum","slope_max","slope_total","dem_mean","dem_range","order","adult_mass_g","brain_mass_g","trophic_level","det_diet_breadth_n","habitat_breadth_n","activity_cycle","foraging_stratum","fossoriality","hibernation_torpor","max_longevity_d","litter_size_n","litters_per_year_y","generation_length_d","density_n_km2","Exposure","IUCN_num","Trait_sensitivity","Sensitivity","Suitability","Risk_index","Risk_level"
"Rhyneptesicus nasutus","LC",0.0221322997040506,0.875,0.78821035167058,0.711254656419916,0.794916680095937,0.841598890529203,0.201763842126728,0.255720217040173,0.541728418204149,0.303830835562505,0.446366794299531,0.44951247124581,0.511995250986021,0.170262166189947,0.52719670221587,"Chiroptera",1.9068333463028e-06,2.52352821219222e-05,1,0,0.428571428571429,1,"A",2,1,3392.64818524215,1.56535137254902,1.06025,1632.84020700881,2404.11088167883,0.505868805650997,0,0.285719714137379,0.14285985706869,0.47656030395609,0.0378281206821493,"Medium"
"Rousettus aegyptiacus","LC",0.0294416055964831,1,0.823649857356061,0.724576987871764,0.757200841990468,0.750183386165187,0.238757266794103,0.271553917395966,0.486945132047555,0.298820717733969,0.426408532716284,0.434978632781012,0.453061187972296,0.161520924681015,0.455811870968117,"Chiroptera",4.10652399644331e-05,0.000510842703472042,0,0.25,0.857142857142857,1,"Ar",2,0,8358.5,1.035,2,1825,1766.75044970492,0.484248660346861,0,0.221538953017259,0.110769476508629,0.494084851720335,0.0271372736831685,"Low"
"Rousettus amplexicaudatus","LC",0.0498242802975068,1,0.568607999500439,0.652353714232868,0.647119716290994,0.584622702469376,0.144828195573036,0.184762289911147,0.407709609973559,0.392615089379874,0.301473640400464,0.350020270338927,0.412446055938935,0.109052610148639,0.595419347741909,"Chiroptera",2.52065355948969e-05,0.000314353087100975,0,0.25,0.428571428571429,1,"Ar",2,0,2913.916666545,0.99,2,1329.96612625171,1730.92258333284,0.407795128450918,0,0.135782197638825,0.0678910988194124,0.464580847537699,0.0148234322718916,"Very low"
"Rousettus leschenaultii","NT",0.0815192489762618,1,0.630400366965341,0.63322686596677,0.756037001404198,0.685325036756936,0.243067871059562,0.294801675850073,0.37809114537468,0.211804531407755,0.267693915896266,0.309333564966519,0.269836072485781,0.137410060567163,0.823992877662276,"Chiroptera",2.94394571763476e-05,0.000315544252809851,0,0.25,0.142857142857143,1,"Ar",2,0,5110,1.005,2,1679.8551,1486.01678751236,0.404921768116854,0.25,0.0786404253134258,0.164320212656713,0.534664510834208,0.0309619488224687,"Medium"
"Rousettus linduensis","DD",4.44850190849971e-07,0.125,0.285714285714286,0.972288192062799,0.799999970875339,0.395843744814909,0.0810032081562189,0.201079840462608,NA,0.812319050778396,0.330157706225476,NA,0.632402189611585,0.264179001540629,0,"Chiroptera",2.76490835213906e-05,0.000306981484128907,0,0,0,1,"Ar",2,0,4732.03489585153,0.997180608974366,1.596615,1991.70528695003,1555.15338744362,0.528136737873416,NA,6.69261135300595e-05,6.69261135300595e-05,0.134978746421021,3.05751617077022e-05,"Very low"
"Rousettus spinalatus","VU",0.000996361947740147,1,0.184081685840873,0.671584924945726,0.570663890236709,0.553023865878249,0.104260278194728,0.132360908296039,0.440841906125703,0.526603945964547,0.307142612858306,0.348458634809826,0.491157631462966,0.12195843120337,0.208957854960114,"Chiroptera",2.81211334703125e-05,0.000261244306778133,0,0.25,0.142857142857143,1,"Ar",2,0,4808.29099998248,1,1.956044969339,1825,1803.27122213023,0.41460985987728,0.5,0.0786293016594783,0.289314650829739,0.303198866790419,0.0835831820583391,"High"
"Rubrisciurus rubriventer","LC",0.00200856924481499,0.875,0.34062371346233,0.826690975239075,0.833130938144398,0.490793067948742,0.0899912043027827,0.187450316797066,0.467100139325748,0.681478441108203,0.381826790870689,0.439504012748766,0.715153181543592,0.148828424708043,0.332108385608849,"Rodentia",0.00021218334644861,0.00138426962054225,0.5,0.75,0,3,"Ar",2,0,5383.87014572122,1.98663500000002,1.74924,1706.77238931599,65.7424935543124,0.511311906802906,0,0.250319290593398,0.125159645296699,0.339713818604807,0.0422554215032724,"Medium"
"Rupicapra rupicapra","LC",0.000288477262709913,1,0.477591036414566,0.702845505417476,0.841524810461733,0.360517820277751,0.418322700978164,0.511127388060784,0.902476239677637,0.265334614900068,0.815086398009036,0.80755537131602,0.512066953147958,0.440113317232501,0.268928004482445,"Cetartiodactyla",0.0109880200151539,0.0237872790538456,0,0,0.428571428571429,2,"G",1,0,8030,1,1,3650,3.89097248566872,0.613685780224663,0,0.0926693455280856,0.0463346727640428,0.437384167078444,0.0159979417172378,"Very low"
"Rusa alfredi","EN",2.00033763059655e-05,0.25,0.509984639016897,0.587384530298384,0.698755177282326,0.521952109571796,0.0864249935862771,0.155008350211149,NA,0.253315455648121,0.215415696891726,NA,0.290835090592254,0.17063723654003,0.110520456925644,"Cetartiodactyla",0.0195646784563605,0.0501621633763703,0,0,0.285714285714286,2,"G",1,0,9642.08333455,1,1,2555.9125,6.14532826694216,0.351136425510254,0.75,0.0710882255094033,0.410544112754702,0.208232467171775,0.114138826107152,"Very high"
"Rusa marianna","VU",0.00132099998224388,0.875,0.628495980963989,0.672143331022932,0.645390675422075,0.515491735681077,0.0841112049541748,0.132214408828982,0.414111794356147,0.443757617142216,0.28795011325238,0.348358440464216,0.479747797720004,0.136934067506888,0.271510621550997,"Cetartiodactyla",0.0153589649644,0.0285608943807389,0,0,0,2,"G",1,0,6344.91666545,1.03777666666667,1.01938166666667,2920,7.91834576019073,0.40232771188442,0.5,0.00878397186902778,0.254391985934514,0.382652334000823,0.0631848826976916,"High"
